tariff_units,second_class_full_tariff,second_class_20_discount_tariff,second_class_40_discount_tariff,second_class_full_tariff_ex_tax
176,"€ 25,60 ","€ 20,48 ","€ 15,36 ","€ 23,49 "
177,"€ 25,70 ","€ 20,56 ","€ 15,42 ","€ 23,58 "
178,"€ 25,80 ","€ 20,64 ","€ 15,48 ","€ 23,67 "
179,"€ 25,80 ","€ 20,64 ","€ 15,48 ","€ 23,67 "
180,"€ 25,90 ","€ 20,72 ","€ 15,54 ","€ 23,76 "
181,"€ 26,00 ","€ 20,80 ","€ 15,60 ","€ 23,85 "
182,"€ 26,10 ","€ 20,88 ","€ 15,66 ","€ 23,94 "
183,"€ 26,10 ","€ 20,88 ","€ 15,66 ","€ 23,94 "
184,"€ 26,20 ","€ 20,96 ","€ 15,72 ","€ 24,04 "
185,"€ 26,30 ","€ 21,04 ","€ 15,78 ","€ 24,13 "
186,"€ 26,40 ","€ 21,12 ","€ 15,84 ","€ 24,22 "
187,"€ 26,40 ","€ 21,12 ","€ 15,84 ","€ 24,22 "
188,"€ 26,50 ","€ 21,20 ","€ 15,90 ","€ 24,31 "
189,"€ 26,60 ","€ 21,28 ","€ 15,96 ","€ 24,40 "
190,"€ 26,60 ","€ 21,28 ","€ 15,96 ","€ 24,40 "
191,"€ 26,70 ","€ 21,36 ","€ 16,02 ","€ 24,50 "
192,"€ 26,80 ","€ 21,44 ","€ 16,08 ","€ 24,59 "
193,"€ 26,90 ","€ 21,52 ","€ 16,14 ","€ 24,68 "
194,"€ 26,90 ","€ 21,52 ","€ 16,14 ","€ 24,68 "
195,"€ 27,00 ","€ 21,60 ","€ 16,20 ","€ 24,77 "
196,"€ 27,10 ","€ 21,68 ","€ 16,26 ","€ 24,86 "
197,"€ 27,20 ","€ 21,76 ","€ 16,32 ","€ 24,95 "
198,"€ 27,20 ","€ 21,76 ","€ 16,32 ","€ 24,95 "
199,"€ 27,30 ","€ 21,84 ","€ 16,38 ","€ 25,05 "
200,"€ 27,40 ","€ 21,92 ","€ 16,44 ","€ 25,14 "
